@relation acc_3_0.8_model_11_UpFall_44F

@attribute ARA numeric
@attribute MeanX numeric
@attribute MeanY numeric
@attribute MeanZ numeric
@attribute MeanXYZ numeric
@attribute VarX numeric
@attribute VarY numeric
@attribute VarZ numeric
@attribute DiffX numeric
@attribute DiffY numeric
@attribute DiffZ numeric
@attribute sdX numeric
@attribute sdY numeric
@attribute sdZ numeric
@attribute CovarianceXY numeric
@attribute CovarianceYZ numeric
@attribute CovarianceZX numeric
@attribute ZeroCrossingX numeric
@attribute ZeroCrossingY numeric
@attribute ZeroCrossingZ numeric
@attribute xPAR numeric
@attribute yPAR numeric
@attribute zPAR numeric
@attribute xSMA numeric
@attribute ySMA numeric
@attribute zSMA numeric
@attribute SMA numeric
@attribute SMVD numeric
@attribute meanPhi numeric
@attribute meanTheta numeric
@attribute varPhi numeric
@attribute varTheta numeric
@attribute igPhi numeric
@attribute igTheta numeric
@attribute Energy numeric
@attribute XFFTEnergy numeric
@attribute yFFTEnergy numeric
@attribute zFFTEnergy numeric
@attribute xFFTEntropy numeric
@attribute yFFTEntropy numeric
@attribute zFFTEntropy numeric
@attribute Activity numeric
@attribute Complexity numeric
@attribute Mobility numeric
@attribute Status {A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11}

@data
42.810639,-9.403671,-13.398631,-35.476712,-58.279014,80.370289,16.283198,328.647608,35.710125,18.758888,53.120157,8.964948,4.035244,18.128641,-14.620534,63.499978,-128.207176,0,0,1.5,0.104215,0.014419,-0.227008,-39178.987529,-112873.807048,-351883.532999,-503936.329093,1.246817,-3.293951,-6.352268,44.383018,174.370947,-9.769128,-113.715947,0.821748,3.628,51.127246,541.675987,-0.221289,-2.08565,7.563555,0.526854,1.008064,1.007997,A01
42.695119,-4.666173,-13.176018,-40.328092,-58.170283,1.379702,13.045168,125.141353,5.088555,14.968265,45.214691,1.174607,3.611809,11.18666,4.173484,40.19684,12.979286,0,0,0.5,0.035575,0.013813,-0.003273,-41004.727026,-110583.65983,-352193.481627,-503781.869956,0.526304,-3.115721,-8.387965,39.427843,283.799511,-10.097707,-4.482071,0.830003,2.362958,48.909509,525.623394,-0.13364,-2.164279,9.834706,0.531177,1.008062,1.007999,A01
42.631838,-4.584497,-13.108327,-40.295966,-57.988791,1.422469,11.677379,117.464194,5.187476,14.579156,45.228269,1.192673,3.417218,10.83809,4.024561,36.844262,12.868083,0,0,0.5,0.022903,0.014876,-0.003276,-46652.673709,-125819.03114,-399067.087937,-571538.795008,0.578806,-3.156119,-8.744945,40.462915,306.501612,-8.707237,-3.181162,0.84244,9.082942,56.697448,564.617492,-0.034214,-0.817591,3.64257,0.536246,1.009174,1.009091,A01
42.683377,-6.982801,-12.632091,-38.053708,-57.6686,28.410813,10.989837,254.430664,24.895485,14.13898,51.024568,5.330179,3.315092,15.950883,-7.351345,48.414903,-61.839528,0,0,1,0.143725,0.020582,-0.151397,-39902.027931,-106209.140946,-353608.927767,-499720.098676,0.986066,-3.326377,-7.363616,44.713417,228.145364,-9.425429,-168.125333,0.930278,3.001269,40.219138,520.15744,-0.159996,-1.558352,-23.258489,0.584311,1.008064,1.008,A01
43.101194,-4.587392,-12.554361,-40.96733,-58.109083,1.152383,9.949698,112.320185,5.085547,13.845659,45.332736,1.073491,3.154314,10.598122,3.327869,33.281076,11.301279,0,0,0,0.028775,0.017364,0.001147,-40582.021318,-104203.207315,-354479.523883,-499264.754382,0.504216,-3.341593,-8.750372,45.099147,307.58437,-9.367618,-3.657621,0.939664,2.355407,40.207694,505.487126,-0.131114,-1.565649,-28.587095,0.588964,1.008065,1.008,A01
42.510331,-4.499787,-12.313257,-40.429551,-57.242595,1.463736,10.870249,120.181659,5.118528,13.716094,45.332581,1.20985,3.297006,10.96274,3.918636,35.998694,13.177189,0,0,0,0.022001,0.021115,0.001163,-46440.24747,-122171.975768,-411885.322946,-580497.548624,0.584911,-3.368634,-8.981005,45.885231,323.521205,-7.943248,-3.0031,0.963259,8.149749,50.962042,578.51867,-0.026897,-0.540674,-9.79206,0.599997,1.009432,1.009345,A01
43.01115,-5.061044,-13.767879,-39.051597,-57.88052,9.838737,12.616468,225.472638,17.639973,15.126605,54.271413,3.136676,3.551967,15.015746,-4.045997,50.199363,-25.850756,0,0,0.5,0.14928,0.025458,-0.222049,-31400.599687,-115841.787214,-351166.598622,-498408.988283,0.887214,-3.017085,-9.266896,36.730377,358.663082,-10.421502,-9.871136,0.865637,3.420781,51.794979,522.894546,-0.118769,-1.254529,2.883822,0.554503,1.008062,1.007999,A01
43.422837,-3.708083,-13.770859,-41.002761,-58.481702,0.729212,11.817697,98.933725,4.006387,14.990938,45.340304,0.853939,3.437688,9.946543,2.919511,34.100125,8.441294,0,0,0.5,0.020415,0.025009,-0.009487,-30333.581255,-117958.671924,-350691.120589,-498983.376504,0.501897,-3.091459,-10.996345,38.522635,484.543755,-10.12305,-2.87015,0.873326,1.000179,49.808831,503.23772,-0.108892,-1.268448,3.49061,0.558161,1.008063,1.008,A01
42.592039,-3.609123,-13.521219,-40.215256,-57.345597,0.870443,12.798407,116.770315,3.987407,14.805309,45.338484,0.932975,3.577486,10.806031,3.32027,38.614106,10.021845,0,0,0.5,0.022471,0.02272,-0.009673,-35361.873906,-134420.064326,-401005.927847,-570787.86904,0.570318,-3.063439,-11.088,37.858443,492.752824,-8.90114,-2.48577,0.892137,5.770665,67.163275,591.822923,-0.023439,-0.444921,1.2186,0.567282,1.009259,1.009172,A01
41.580856,9.911882,-1.947115,-38.955599,-30.990832,10.246728,38.141003,185.280575,11.753443,24.898824,45.149493,3.201051,6.17584,13.611781,14.008661,-64.755516,-42.545585,0,0.5,0,1.198102,-0.343121,0.004192,-92779.705815,-5184.399131,-353060.613897,-451024.726083,0.875448,95.037765,3.809453,174702.323851,58.851159,-5.233609,8.881206,1.143497,32.867823,3.643216,509.262063,-2.613584,0.002755,-7.189662,0.700531,1.008064,1.008,A01
